No. moves  % accept.       <E_tot>         <E_sr>
     11126    49.6970        -7016.826       -7016.826
     11128    49.6970        -7016.792       -7016.792
     11130    49.6971        -7016.780       -7016.780
     11132    49.6971        -7016.853       -7016.853
     11134    49.6972        -7016.886       -7016.886
     11136    49.6973        -7016.938       -7016.938
     11138    49.6975        -7016.986       -7016.986
     11140    49.6974        -7016.976       -7016.976
     11142    49.6976        -7016.911       -7016.911
     11144    49.6977        -7016.814       -7016.814
     11146    49.6977        -7016.730       -7016.730
     11148    49.6978        -7016.690       -7016.690
     11150    49.6979        -7016.719       -7016.719
     11152    49.6979        -7016.737       -7016.737
     11154    49.6979        -7016.775       -7016.775
     11156    49.6976        -7016.794       -7016.794
     11158    49.6975        -7016.850       -7016.850
     11160    49.6977        -7016.888       -7016.888
     11162    49.6977        -7016.950       -7016.950
     11164    49.6976        -7017.020       -7017.020
     11166    49.6977        -7017.084       -7017.084
     11168    49.6977        -7017.161       -7017.161
     11170    49.6977        -7017.192       -7017.192
     11172    49.6979        -7017.213       -7017.213
     11174    49.6978        -7017.251       -7017.251
     11176    49.6979        -7017.356       -7017.356
     11178    49.6978        -7017.379       -7017.379
     11180    49.6980        -7017.390       -7017.390
     11182    49.6980        -7017.422       -7017.422
     11184    49.6981        -7017.436       -7017.436
     11186    49.6981        -7017.408       -7017.408
     11188    49.6980        -7017.433       -7017.433
     11190    49.6980        -7017.451       -7017.451
     11192    49.6979        -7017.437       -7017.437
     11194    49.6979        -7017.449       -7017.449
     11196    49.6978        -7017.451       -7017.451
     11198    49.6976        -7017.464       -7017.464
     11200    49.6976        -7017.487       -7017.487
     11202    49.6974        -7017.501       -7017.501
     11204    49.6973        -7017.537       -7017.537
     11206    49.6973        -7017.525       -7017.525
     11208    49.6975        -7017.545       -7017.545
     11210    49.6973        -7017.536       -7017.536
     11212    49.6974        -7017.518       -7017.518
     11214    49.6976        -7017.541       -7017.541
     11216    49.6976        -7017.595       -7017.595
     11218    49.6976        -7017.560       -7017.560
     11220    49.6977        -7017.538       -7017.538
     11222    49.6977        -7017.553       -7017.553
     11224    49.6978        -7017.569       -7017.569
     11226    49.6976        -7017.593       -7017.593
     11228    49.6976        -7017.617       -7017.617
     11230    49.6975        -7017.616       -7017.616
     11232    49.6973        -7017.609       -7017.609
     11234    49.6973        -7017.595       -7017.595
     11236    49.6973        -7017.610       -7017.610
     11238    49.6973        -7017.595       -7017.595
     11240    49.6974        -7017.558       -7017.558
     11242    49.6974        -7017.549       -7017.549
     11244    49.6975        -7017.537       -7017.537
     11246    49.6975        -7017.497       -7017.497
     11248    49.6976        -7017.472       -7017.472
     11250    49.6975        -7017.452       -7017.452
     11252    49.6974        -7017.451       -7017.451
     11254    49.6975        -7017.456       -7017.456
     11256    49.6974        -7017.466       -7017.466
     11258    49.6974        -7017.462       -7017.462
     11260    49.6973        -7017.526       -7017.526
     11262    49.6972        -7017.566       -7017.566
     11264    49.6972        -7017.590       -7017.590
     11266    49.6972        -7017.612       -7017.612
     11268    49.6973        -7017.614       -7017.614
     11270    49.6972        -7017.590       -7017.590
     11272    49.6973        -7017.580       -7017.580
     11274    49.6976        -7017.582       -7017.582
     11276    49.6976        -7017.589       -7017.589
     11278    49.6977        -7017.569       -7017.569
     11280    49.6978        -7017.574       -7017.574
     11282    49.6979        -7017.585       -7017.585
     11284    49.6981        -7017.603       -7017.603
     11286    49.6979        -7017.580       -7017.580
     11288    49.6982        -7017.559       -7017.559
     11290    49.6982        -7017.546       -7017.546
     11292    49.6981        -7017.533       -7017.533
     11294    49.6982        -7017.525       -7017.525
     11296    49.6983        -7017.511       -7017.511
     11298    49.6985        -7017.531       -7017.531
     11300    49.6987        -7017.562       -7017.562
     11302    49.6988        -7017.535       -7017.535
     11304    49.6989        -7017.536       -7017.536
     11306    49.6989        -7017.527       -7017.527
     11308    49.6988        -7017.507       -7017.507
     11310    49.6989        -7017.490       -7017.490
     11312    49.6990        -7017.494       -7017.494
     11314    49.6990        -7017.509       -7017.509
     11316    49.6988        -7017.506       -7017.506
     11318    49.6990        -7017.509       -7017.509
