No. moves  % accept.   % accept. vol.   <E_tot>      <E_sr>    <Vol>      <Lx>     <Ly>    <Lz>
     10542    85.6889    55.3121    -357.897       -357.897      473217676.80      779.14820      779.14820      779.14820
     10544    85.6910    55.3111    -357.873       -357.873      473330538.35      779.20930      779.20930      779.20930
     10546    85.6931    55.3101    -357.869       -357.869      473442805.59      779.27007      779.27007      779.27007
     10548    85.6952    55.3185    -357.861       -357.861      473556989.20      779.33184      779.33184      779.33184
     10550    85.6973    55.3175    -357.813       -357.813      473671295.44      779.39367      779.39367      779.39367
     10552    85.6993    55.3165    -357.755       -357.755      473783680.10      779.45446      779.45446      779.45446
     10554    85.7014    55.3155    -357.737       -357.737      473895165.45      779.51478      779.51478      779.51478
     10556    85.7035    55.3145    -357.709       -357.709      474007385.35      779.57547      779.57547      779.57547
     10558    85.7055    55.3135    -357.661       -357.661      474117751.31      779.63517      779.63517      779.63517
     10560    85.7076    55.3220    -357.615       -357.615      474229667.22      779.69567      779.69567      779.69567
     10562    85.7097    55.3304    -357.573       -357.573      474344260.46      779.75757      779.75757      779.75757
     10564    85.7118    55.3294    -357.538       -357.538      474459312.64      779.81969      779.81969      779.81969
     10566    85.7139    55.3284    -357.489       -357.489      474573400.39      779.88130      779.88130      779.88130
     10568    85.7159    55.3274    -357.434       -357.434      474687665.22      779.94298      779.94298      779.94298
     10570    85.7180    55.3264    -357.384       -357.384      474802597.50      780.00501      780.00501      780.00501
     10572    85.7200    55.3348    -357.359       -357.359      474917387.91      780.06694      780.06694      780.06694
     10574    85.7221    55.3433    -357.316       -357.316      475032370.22      780.12897      780.12897      780.12897
     10576    85.7242    55.3328    -357.257       -357.257      475146554.05      780.19056      780.19056      780.19056
     10578    85.7263    55.3318    -357.185       -357.185      475260877.19      780.25221      780.25221      780.25221
     10580    85.7284    55.3308    -357.150       -357.150      475374275.55      780.31337      780.31337      780.31337
     10582    85.7305    55.3204    -357.123       -357.123      475486894.53      780.37411      780.37411      780.37411
     10584    85.7325    55.3193    -357.081       -357.081      475599535.23      780.43485      780.43485      780.43485
     10586    85.7345    55.3183    -357.037       -357.037      475712458.16      780.49572      780.49572      780.49572
     10588    85.7366    55.3079    -357.017       -357.017      475824612.92      780.55617      780.55617      780.55617
     10590    85.7387    55.3163    -356.994       -356.994      475937282.10      780.61689      780.61689      780.61689
     10592    85.7408    55.3059    -356.948       -356.948      476049190.00      780.67719      780.67719      780.67719
     10594    85.7429    55.3143    -356.907       -356.907      476162816.83      780.73838      780.73838      780.73838
     10596    85.7450    55.3133    -356.873       -356.873      476277236.79      780.79997      780.79997      780.79997
     10598    85.7470    55.3123    -356.833       -356.833      476392017.43      780.86174      780.86174      780.86174
     10600    85.7491    55.3019    -356.799       -356.799      476506032.87      780.92310      780.92310      780.92310
     10602    85.7511    55.3009    -356.780       -356.780      476620274.48      780.98456      780.98456      780.98456
     10604    85.7531    55.2905    -356.763       -356.763      476733759.53      781.04561      781.04561      781.04561
     10606    85.7551    55.2989    -356.761       -356.761      476847457.82      781.10677      781.10677      781.10677
