No. moves  % accept.   % accept. vol.   <E_tot>      <E_sr>    <Vol>      <Lx>     <Ly>    <Lz>
     10502    85.7142    55.9512    -307.333       -307.333      473530671.84      779.28957      779.28957      779.28957
     10504    85.7164    55.9501    -307.276       -307.276      473663618.81      779.36146      779.36146      779.36146
     10506    85.7186    55.9490    -307.217       -307.217      473796334.16      779.43321      779.43321      779.43321
     10508    85.7208    55.9478    -307.179       -307.179      473928844.81      779.50483      779.50483      779.50483
     10510    85.7231    55.9467    -307.101       -307.101      474062394.46      779.57698      779.57698      779.57698
     10512    85.7253    55.9456    -307.037       -307.037      474194412.32      779.64831      779.64831      779.64831
     10514    85.7274    55.9349    -306.972       -306.972      474325402.80      779.71908      779.71908      779.71908
     10516    85.7296    55.9433    -306.919       -306.919      474459206.34      779.79131      779.79131      779.79131
     10518    85.7318    55.9422    -306.872       -306.872      474593635.68      779.86385      779.86385      779.86385
     10520    85.7340    55.9411    -306.828       -306.828      474726798.81      779.93571      779.93571      779.93571
     10522    85.7361    55.9494    -306.765       -306.765      474859699.59      780.00742      780.00742      780.00742
     10524    85.7383    55.9388    -306.740       -306.740      474991585.85      780.07857      780.07857      780.07857
     10526    85.7404    55.9377    -306.681       -306.681      475122520.54      780.14922      780.14922      780.14922
     10528    85.7427    55.9271    -306.627       -306.627      475252463.30      780.21933      780.21933      780.21933
     10530    85.7448    55.9259    -306.558       -306.558      475383112.37      780.28979      780.28979      780.28979
     10532    85.7470    55.9153    -306.505       -306.505      475512779.12      780.35972      780.35972      780.35972
     10534    85.7491    55.9047    -306.466       -306.466      475641474.58      780.42912      780.42912      780.42912
     10536    85.7513    55.9131    -306.389       -306.389      475769276.55      780.49805      780.49805      780.49805
     10538    85.7534    55.9119    -306.305       -306.305      475897412.25      780.56713      780.56713      780.56713
     10540    85.7556    55.9108    -306.221       -306.221      476025944.16      780.63640      780.63640      780.63640
     10542    85.7577    55.9192    -306.173       -306.173      476156415.40      780.70667      780.70667      780.70667
     10544    85.7599    55.9181    -306.122       -306.122      476286635.34      780.77679      780.77679      780.77679
     10546    85.7621    55.9169    -306.049       -306.049      476416467.46      780.84669      780.84669      780.84669
     10548    85.7643    55.9253    -305.983       -305.983      476546071.22      780.91646      780.91646      780.91646
     10550    85.7664    55.9147    -305.920       -305.920      476674732.41      780.98572      780.98572      780.98572
     10552    85.7686    55.9230    -305.864       -305.864      476804452.79      781.05551      781.05551      781.05551
     10554    85.7707    55.9219    -305.794       -305.794      476934615.46      781.12552      781.12552      781.12552
     10556    85.7729    55.9208    -305.740       -305.740      477064343.44      781.19528      781.19528      781.19528
     10558    85.7751    55.9197    -305.651       -305.651      477194503.86      781.26525      781.26525      781.26525
     10560    85.7773    55.9091    -305.569       -305.569      477323734.56      781.33473      781.33473      781.33473
