No. moves  % accept.   % accept. vol.   <E_tot>      <E_sr>    <Vol>      <Lx>     <Ly>    <Lz>
     10492    85.9305    54.6607    -305.194       -305.194      591466825.00      763.70108      757.99330      1021.31225
     10494    85.9327    54.6598    -305.095       -305.095      591603956.76      763.75945      758.05123      1021.39032
     10496    85.9348    54.6684    -305.010       -305.010      591741221.00      763.81787      758.10921      1021.46844
     10498    85.9369    54.6676    -304.950       -304.950      591878194.60      763.87615      758.16706      1021.54638
     10500    85.9390    54.6667    -304.858       -304.858      592015412.41      763.93452      758.22499      1021.62444
     10502    85.9412    54.6658    -304.758       -304.758      592149452.67      763.99156      758.28161      1021.70072
     10504    85.9433    54.6649    -304.656       -304.656      592283642.95      764.04865      758.33828      1021.77707
     10506    85.9455    54.6545    -304.553       -304.553      592416772.43      764.10530      758.39449      1021.85282
     10508    85.9476    54.6536    -304.439       -304.439      592551351.49      764.16253      758.45130      1021.92936
     10510    85.9497    54.6527    -304.337       -304.337      592687001.03      764.22019      758.50853      1022.00647
     10512    85.9518    54.6518    -304.246       -304.246      592822596.47      764.27782      758.56572      1022.08354
     10514    85.9540    54.6509    -304.141       -304.141      592958018.54      764.33536      758.62284      1022.16049
     10516    85.9562    54.6501    -304.050       -304.050      593094144.57      764.39318      758.68023      1022.23782
     10518    85.9583    54.6492    -303.961       -303.961      593231442.28      764.45148      758.73809      1022.31578
     10520    85.9604    54.6578    -303.874       -303.874      593370076.32      764.51032      758.79649      1022.39446
     10522    85.9625    54.6474    -303.807       -303.807      593507648.02      764.56870      758.85444      1022.47254
     10524    85.9646    54.6465    -303.751       -303.751      593644509.64      764.62678      758.91208      1022.55021
     10526    85.9668    54.6551    -303.673       -303.673      593780371.01      764.68444      758.96931      1022.62732
     10528    85.9689    54.6543    -303.600       -303.600      593916224.93      764.74208      759.02651      1022.70440
     10530    85.9710    54.6629    -303.527       -303.527      594050950.77      764.79924      759.08325      1022.78085
     10532    85.9732    54.6715    -303.443       -303.443      594185961.91      764.85651      759.14009      1022.85743
     10534    85.9753    54.6706    -303.357       -303.357      594319077.68      764.91298      759.19614      1022.93296
     10536    85.9775    54.6697    -303.293       -303.293      594452260.96      764.96947      759.25221      1023.00850
     10538    85.9796    54.6783    -303.220       -303.220      594587283.46      765.02671      759.30902      1023.08505
     10540    85.9818    54.6869    -303.134       -303.134      594720548.20      765.08322      759.36510      1023.16061
     10542    85.9839    54.6955    -303.039       -303.039      594851869.42      765.13890      759.42038      1023.23509
     10544    85.9860    54.6946    -302.964       -302.964      594983507.85      765.19471      759.47577      1023.30972
     10546    85.9882    54.6937    -302.899       -302.899      595114755.66      765.25035      759.53099      1023.38413
     10548    85.9904    54.7023    -302.839       -302.839      595244794.10      765.30548      759.58571      1023.45785
     10550    85.9925    54.7109    -302.789       -302.789      595373871.30      765.36020      759.64002      1023.53103
     10552    85.9947    54.7195    -302.737       -302.737      595502980.50      765.41492      759.69433      1023.60421
