No. moves  % accept.       <E_tot>         <E_sr>
     11120    49.7372        -7025.274       -7025.274
     11122    49.7373        -7025.274       -7025.274
     11124    49.7373        -7025.285       -7025.285
     11126    49.7372        -7025.326       -7025.326
     11128    49.7372        -7025.354       -7025.354
     11130    49.7372        -7025.338       -7025.338
     11132    49.7373        -7025.336       -7025.336
     11134    49.7373        -7025.324       -7025.324
     11136    49.7372        -7025.294       -7025.294
     11138    49.7373        -7025.228       -7025.228
     11140    49.7374        -7025.181       -7025.181
     11142    49.7373        -7025.144       -7025.144
     11144    49.7374        -7025.155       -7025.155
     11146    49.7373        -7025.172       -7025.172
     11148    49.7373        -7025.196       -7025.196
     11150    49.7373        -7025.173       -7025.173
     11152    49.7373        -7025.169       -7025.169
     11154    49.7374        -7025.115       -7025.115
     11156    49.7372        -7025.097       -7025.097
     11158    49.7373        -7025.123       -7025.123
     11160    49.7371        -7025.129       -7025.129
     11162    49.7371        -7025.174       -7025.174
     11164    49.7370        -7025.235       -7025.235
     11166    49.7371        -7025.263       -7025.263
     11168    49.7370        -7025.260       -7025.260
     11170    49.7370        -7025.254       -7025.254
     11172    49.7370        -7025.226       -7025.226
     11174    49.7372        -7025.243       -7025.243
     11176    49.7370        -7025.266       -7025.266
     11178    49.7370        -7025.315       -7025.315
     11180    49.7368        -7025.339       -7025.339
     11182    49.7368        -7025.399       -7025.399
     11184    49.7368        -7025.454       -7025.454
     11186    49.7367        -7025.504       -7025.504
     11188    49.7366        -7025.551       -7025.551
     11190    49.7365        -7025.564       -7025.564
     11192    49.7364        -7025.534       -7025.534
     11194    49.7363        -7025.514       -7025.514
     11196    49.7361        -7025.562       -7025.562
     11198    49.7361        -7025.579       -7025.579
     11200    49.7360        -7025.562       -7025.562
     11202    49.7360        -7025.525       -7025.525
     11204    49.7362        -7025.562       -7025.562
     11206    49.7362        -7025.601       -7025.601
     11208    49.7363        -7025.604       -7025.604
     11210    49.7362        -7025.620       -7025.620
     11212    49.7365        -7025.614       -7025.614
     11214    49.7365        -7025.597       -7025.597
     11216    49.7363        -7025.547       -7025.547
     11218    49.7363        -7025.556       -7025.556
     11220    49.7363        -7025.560       -7025.560
     11222    49.7363        -7025.571       -7025.571
     11224    49.7364        -7025.552       -7025.552
